postcode_2016,Outer Regional Australia,Remote Australia,Very Remote Australia,Major Cities of Australia,Inner Regional Australia,ra_code,ra,ra_digit2,irsad_score_weighted,irsd_score_weighted,economic_score_weighted,education_score_weighted,irsad_decile_weighted,irsd_decile_weighted,economic_decile_weighted,education_decile_weighted,irsd_score_average,irsad_score_average,economic_score_average,education_score_average,irsd_decile_average,irsad_decile_average,economic_decile_average,education_decile_average
3980,0,0,0,1.48,98.29,21,Inner Regional Australia,1,982.2058185558628,1022.6026349084241,1051.3681598939609,982.2058185558628,4.740873575494108,5.64991376152619,7.050840290649034,4.740873575494108,1018.4545454545455,982.3636363636364,1049.1818181818182,933.6363636363636,5.583333333333333,4.666666666666667,7.083333333333333,3.25
3981,0,0,0,0,99.99,21,Inner Regional Australia,1,965.0710271141975,997.5822701757968,1044.2997701108725,965.0710271141975,3.9646683779988545,4.805264210489366,6.995645916537686,3.9646683779988545,1013.7894736842105,987.6315789473684,1056.9473684210527,949.1578947368421,5.2631578947368425,4.842105263157895,7.421052631578948,3.8421052631578947
3984,0,0,0,0,99.96,21,Inner Regional Australia,1,909.7648031838892,935.0998191354794,971.1494768551648,909.7648031838892,2.5643359401023513,2.971886976384784,4.1855059907026115,2.5643359401023513,962.8636363636364,938.7727272727273,1005,923.5,3.8636363636363638,3.3636363636363638,5.5,3.0454545454545454
3987,0,0,0,0,100,21,Inner Regional Australia,1,963.4392643487378,997.9575318371674,1049.8973121633223,963.4392643487378,4.173407307040944,4.814324298385921,7.0983299757384,4.173407307040944,1006,982,1049.4285714285713,958,5,4.714285714285714,7.142857142857143,4
3988,0,0,0,0,100,21,Inner Regional Australia,1,976.9292650798169,995.288838012369,1038.046603057709,976.9292650798169,4.469396835996591,4.293447338036163,6.747068949020516,4.469396835996591,1015.375,997.5,1051.75,998.75,5.25,5.125,7.25,5.5
3990,0,0,0,0,100,21,Inner Regional Australia,1,949.9841997210394,976.986423232796,1008.989870404474,949.9841997210394,2.9997536036147374,3.9997536036147374,5.0002475852431045,2.9997536036147374,981.3333333333334,954,1007.3333333333334,949.6666666666666,4.333333333333333,3.3333333333333335,5.333333333333333,3.6666666666666665
3991,0,0,0,0,99.94,21,Inner Regional Australia,1,926.6587799544201,938.3809474694006,999.2579075701065,926.6587799544201,2.9434129111144167,2.943753108408312,4.915119366671625,2.9434129111144167,922,908.3333333333334,972,919,2.6666666666666665,2.3333333333333335,4,2.6666666666666665
3992,0,0,0,0,99.99,21,Inner Regional Australia,1,958.98897098268,987.8909433787927,1004.6009191135414,958.98897098268,4.138132219721677,4.43614712359817,5.3668537050382294,4.138132219721677,1024.3333333333333,993.3333333333334,1041.3333333333333,980.6666666666666,6,5.166666666666667,6.666666666666667,4.833333333333333
3995,0,0,0,0,99.96,21,Inner Regional Australia,1,901.2777471851645,925.9035058205914,938.8762993022622,901.2777471851645,2.5672970407153843,3.0264043151382714,3.3707958937065774,2.5672970407153843,952.1111111111111,926.7777777777778,966.9629629629629,930.6296296296297,3.888888888888889,3.3333333333333335,4.296296296296297,3.4074074074074074
3996,0,0,0,0,99.98,21,Inner Regional Australia,1,1004.7846326481663,1023.2664481994756,1002.5148790944409,1004.7846326481663,5.412727210227995,5.798195776755815,5.239625445798505,5.412727210227995,1029.764705882353,1010.6470588235294,1015.3529411764706,1039.3529411764705,5.888888888888889,5.5,5.611111111111111,6.555555555555555
