id,post,Outer Regional Australia,Remote Australia,Very Remote Australia,Major Cities of Australia,Inner Regional Australia,ra_code,ra,sa1_mean_decile,mean_sa2_decile
30,3049,0,0,0,100,0,20,Major Cities of Australia,4.390243902439025,3.857142857142857
31,3082,0,0,0,100,0,20,Major Cities of Australia,4.947916666666667,4.75
32,3039,0,0,0,100,0,20,Major Cities of Australia,7.877551020408164,7.6
33,3058,0,0,0,100,0,20,Major Cities of Australia,5.474747474747475,6.083333333333333
34,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
35,3078,0,0,0,100,0,20,Major Cities of Australia,8.387755102040817,9
36,4122,0,0,0,100,0,30,Major Cities of Australia,6.768,7.538461538461538
37,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
38,810,99.86,0,0,0,0,72,Outer Regional Australia,6.506172839506172,6.294117647058823
39,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
40,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
41,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
42,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
45,3480,100,0,0,0,0,22,Outer Regional Australia,5.142857142857143,2.6666666666666665
46,2612,0,0,0,100,0,80,Major Cities of Australia,8.26530612244898,8.727272727272727
47,3450,0,0,0,0,100,21,Inner Regional Australia,4.37037037037037,4.5
48,3551,0,0,0,0,100,21,Inner Regional Australia,6.2155172413793105,4.466666666666667
49,3677,0,0,0,0,100,21,Inner Regional Australia,4.2407407407407405,5
50,3678,42.21,0,0,0,57.79,21,Inner Regional Australia,6.081632653061225,5.222222222222222
51,7150,87.93,0,0,0,11.92,62,Outer Regional Australia,6.230769230769231,5.2
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
54,3451,0,0,0,0,100,21,Inner Regional Australia,4.888888888888889,4.666666666666667
55,3556,0,0,0,0,100,21,Inner Regional Australia,3.4651162790697674,4.714285714285714
56,3555,0,0,0,0,100,21,Inner Regional Australia,3.8983050847457625,5.4
57,6054,0,0,0,99.99,0,50,Major Cities of Australia,4.532258064516129,5
58,3765,0,0,0,100,0,20,Major Cities of Australia,7.666666666666667,7.571428571428571
59,3550,0,0,0,0,100,21,Inner Regional Australia,4.259541984732825,5.2
60,3442,0,0,0,0,100,21,Inner Regional Australia,7.896551724137931,8
61,3083,0,0,0,100,0,20,Major Cities of Australia,5.388349514563107,4.9
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,3480,100,0,0,0,0,22,Outer Regional Australia,5.142857142857143,2.6666666666666665
64,3480,100,0,0,0,0,22,Outer Regional Australia,5.142857142857143,2.6666666666666665
65,3431,0,0,0,0,100,21,Inner Regional Australia,8,8
66,3174,0,0,0,100,0,20,Major Cities of Australia,2.1964285714285716,2.4444444444444446
